ts,ecg
1626177558108.06,-4.40100603115631
1626177558111.39,-4.43165772338602
1626177558114.72,-4.42076735744087
1626177558118.04,-4.43194620990112
1626177558121.37,-4.42949407452274
1626177558124.69,-4.44377415702035
1626177558128.02,-4.44615417076995
1626177558131.35,-4.41449277573738
1626177558134.67,-4.42220979001639
1626177558138,-4.41615157319922
1626177558141.33,-4.43273954781765
1626177558144.65,-4.42473404702354
1626177558147.98,-4.4046121125951
1626177558151.31,-4.38968293543851
1626177558154.63,-4.37828771809193
1626177558157.96,-4.36090640555697
1626177558161.29,-4.3503766477557
1626177558164.61,-4.32578317234316
1626177558167.94,-4.29909816969611
1626177558171.26,-4.29491511522712
1626177558174.59,-4.28294292485034
1626177558177.92,-4.28705385769056
1626177558181.24,-4.31272915753474
1626177558184.57,-4.31474856314046
1626177558187.9,-4.32542256419928
1626177558191.22,-4.3319135107891
1626177558194.55,-4.33732263294728
1626177558197.88,-4.34972755309672
1626177558201.2,-4.39307265199097
1626177558204.53,-4.40006844998222
1626177558207.86,-4.41824310043372
1626177558211.18,-4.43252318293133
1626177558214.51,-4.44247596770238
1626177558217.83,-4.42668133100049
1626177558221.16,-4.43663411577155
1626177558224.49,-4.41189639710145
1626177558227.81,-4.42906134475009
1626177558231.14,-4.42877285823498
1626177558234.47,-4.41463701899493
1626177558237.79,-4.45567422576836
1626177558241.12,-4.45956879372225
1626177558244.45,-4.45899182069204
1626177558247.77,-4.47262280853067
1626177558251.1,-4.4528614822461
1626177558254.43,-4.45170753618569
1626177558257.75,-4.45992940186613
1626177558261.08,-4.45271723898855
1626177558264.4,-4.4457214409973
1626177558267.73,-4.45992940186613
1626177558271.06,-4.45531361762448
1626177558274.38,-4.45675605019999
1626177558277.71,-4.4415383865283
1626177558281.04,-4.44211535955851
1626177558284.36,-4.45235663084467
1626177558287.69,-4.52144915121188
1626177558291.02,-4.60799510574283
1626177558294.34,-4.66569240876346
1626177558297.67,-4.75368079586992
1626177558300.99,-4.78938100211394
1626177558304.32,-4.76154205340648
1626177558307.65,-4.63590617607906
1626177558310.97,-4.4373553320593
1626177558314.3,-4.25532034102921
1626177558317.63,-3.72291847740632
1626177558320.95,-3.03531086865793
1626177558324.28,-2.74033340696495
1626177558327.61,-2.57063121445551
1626177558330.93,-2.62479455766613
1626177558334.26,-2.79824707487191
1626177558337.59,-3.20674398025799
1626177558340.91,-3.6544750516981
1626177558344.24,-3.90004919767966
1626177558347.56,-4.25560882754431
1626177558350.89,-4.34503964722629
1626177558354.22,-4.36415187885188
1626177558357.54,-4.33443776779625
1626177558360.87,-4.34049598461342
1626177558364.2,-4.32931713215317
1626177558367.52,-4.32888440238052
1626177558370.85,-4.3575166890045
1626177558374.18,-4.37900893437969
1626177558377.5,-4.37215737964599
1626177558380.83,-4.36451248699576
1626177558384.16,-4.37468163665314
1626177558387.48,-4.40028481486855
1626177558390.81,-4.41088669429859
1626177558394.13,-4.39869813903548
1626177558397.46,-4.41946916812291
1626177558400.79,-4.40208785558794
1626177558404.11,-4.40381877467856
1626177558407.44,-4.412040640359
1626177558410.77,-4.42091160069842
1626177558414.09,-4.39768843623262
1626177558417.42,-4.39372174664995
1626177558420.75,-4.42278676304659
1626177558424.07,-4.3935775033924
1626177558427.4,-4.38456229979543
1626177558430.73,-4.38860111100687
1626177558434.05,-4.42834012846233
1626177558437.38,-4.35701183760307
1626177558440.7,-4.36328641930657
1626177558444.03,-4.36227671650371
1626177558447.36,-4.36746947377556
1626177558450.68,-4.3619882299886
1626177558454.01,-4.35838214854981
1626177558457.34,-4.35412697245204
1626177558460.66,-4.34886209355141
1626177558463.99,-4.31943646901089
1626177558467.32,-4.34100083601485
1626177558470.64,-4.33386079476604
1626177558473.97,-4.30140606181694
1626177558477.29,-4.29960302109754
1626177558480.62,-4.29852119666591
1626177558483.95,-4.28301504647911
1626177558487.27,-4.28251019507768
1626177558490.6,-4.2884241686373
1626177558493.93,-4.2702495181858
1626177558497.25,-4.24024692061507
1626177558500.58,-4.24724271860632
1626177558503.91,-4.24767544837897
1626177558507.23,-4.24082389364527
1626177558510.56,-4.19690182172082
1626177558513.89,-4.19935395709919
1626177558517.21,-4.19250240236549
1626177558520.54,-4.17915990104197
1626177558523.86,-4.16437496714294
1626177558527.19,-4.15002276301655
1626177558530.52,-4.14454151922959
1626177558533.84,-4.10314370431229
1626177558537.17,-4.08561814851977
1626177558540.5,-4.08352662128527
1626177558543.82,-4.07177079579482
1626177558547.15,-4.06044770007702
